用户ID,微博数,转发数,评论数,点赞数,积极数,消极数,平均转发,平均评论,平均点赞,积极转发数,积极评论数,积极点赞数,消极转发数,消极评论数,消极点赞数
nG家的猫,2,3756,12154,35730,2,0,1878,6077,17865,3756,12154,35730,0,0,0
屠龙的胭脂井,2,564,1157,6084,0,2,282,579,3042,0,0,0,564,1157,6084
我被帅哥绑架了_,1,76,41,439,0,1,76,41,439,0,0,0,76,41,439
Cherry-O-Cherry,1,30,30,213,1,0,30,30,213,30,30,213,0,0,0
笑多了会怀孕,1,91,32,322,1,0,91,32,322,91,32,322,0,0,0
青扑落,1,15,5,112,1,0,15,5,112,15,5,112,0,0,0
永春茶馆,1,26,54,511,1,0,26,54,511,26,54,511,0,0,0
岐崽的承澈,1,22,323,221,0,1,22,323,221,0,0,0,22,323,221
汉哥归来,1,13,42,121,1,0,13,42,121,13,42,121,0,0,0
爱问医生科普,1,240,201,1109,1,0,240,201,1109,240,201,1109,0,0,0
手机的壁纸图,1,81,26,466,1,0,81,26,466,81,26,466,0,0,0
千般心事悠悠,1,16,21,313,1,0,16,21,313,16,21,313,0,0,0
法制日报,1,25,13,86,1,0,25,13,86,25,13,86,0,0,0
半岛都市报,1,9,3,36,1,0,9,3,36,9,3,36,0,0,0
品师说,1,33,9,31,0,1,33,9,31,0,0,0,33,9,31
网路游侠,1,44,48,11,0,1,44,48,11,0,0,0,44,48,11
云闪付,1,228,330,420,1,0,228,330,420,228,330,420,0,0,0
影视圈达人,1,1051,1042,1127,1,0,1051,1042,1127,1051,1042,1127,0,0,0
中国银联,1,34,58,109,1,0,34,58,109,34,58,109,0,0,0
达人,1,24,12,49,1,0,24,12,49,24,12,49,0,0,0
深圳卫视,1,4373,2803,2360,1,0,4373,2803,2360,4373,2803,2360,0,0,0
吃瓜不可错过,1,126,49,279,0,1,126,49,279,0,0,0,126,49,279
六桥温格,1,55,4,292,1,0,55,4,292,55,4,292,0,0,0
最高人民检察院,1,113,18,49,1,0,113,18,49,113,18,49,0,0,0
BA黑凤梨电子竞技俱乐部,1,2259,2368,2069,1,0,2259,2368,2069,2259,2368,2069,0,0,0
赵脱俗,1,46,16,66,1,0,46,16,66,46,16,66,0,0,0
苏宁手机,1,6661,3731,2489,1,0,6661,3731,2489,6661,3731,2489,0,0,0
掌阅读书,1,6705,5497,4647,1,0,6705,5497,4647,6705,5497,4647,0,0,0
中国电信营业厅官微,1,3310,2116,1134,1,0,3310,2116,1134,3310,2116,1134,0,0,0
UI资源库,1,121,1,89,1,0,121,1,89,121,1,89,0,0,0
智能科技,1,20,128,252,1,0,20,128,252,20,128,252,0,0,0
Himalaya_带斑点的喵,1,47,16,119,1,0,47,16,119,47,16,119,0,0,0
心外無物CV,1,1182,152,958,0,1,1182,152,958,0,0,0,1182,152,958
思想夜话,1,659,591,2750,1,0,659,591,2750,659,591,2750,0,0,0
陳淨心_香港,1,110,280,2695,1,0,110,280,2695,110,280,2695,0,0,0
工作在英国,1,659,215,882,0,1,659,215,882,0,0,0,659,215,882
书房点兵,1,337,201,609,0,1,337,201,609,0,0,0,337,201,609
三亚事儿,1,430,898,3134,1,0,430,898,3134,430,898,3134,0,0,0
胖子海蘭,1,265,587,3373,1,0,265,587,3373,265,587,3373,0,0,0
机智大夫,1,977,542,3195,1,0,977,542,3195,977,542,3195,0,0,0
莆田广播电视台,1,1387,268,4883,0,1,1387,268,4883,0,0,0,1387,268,4883
辣叶摧秋,1,569,1206,4116,0,1,569,1206,4116,0,0,0,569,1206,4116
超级学爸,1,1460,552,3009,0,1,1460,552,3009,0,0,0,1460,552,3009
指尖上的会计,1,2680,1201,16474,0,1,2680,1201,16474,0,0,0,2680,1201,16474
时尚先生Esquire,1,19478,835,6432,1,0,19478,835,6432,19478,835,6432,0,0,0
大河南阳,1,960,297,3479,0,1,960,297,3479,0,0,0,960,297,3479
AC饶谨,1,26,19,655,0,1,26,19,655,0,0,0,26,19,655
-阿亮学长-,1,135,63,291,1,0,135,63,291,135,63,291,0,0,0
李晓鹏1982,1,4062,4453,68456,0,1,4062,4453,68456,0,0,0,4062,4453,68456
杰森斯坦森印,1,203,360,2681,0,1,203,360,2681,0,0,0,203,360,2681
我是你的甜甜啊,1,149,674,1219,1,0,149,674,1219,149,674,1219,0,0,0
猎王Tech,1,18,73,556,0,1,18,73,556,0,0,0,18,73,556
高晓松,1,1819,2980,36625,1,0,1819,2980,36625,1819,2980,36625,0,0,0
原图喵bot,1,6897,6109,7670,1,0,6897,6109,7670,6897,6109,7670,0,0,0
萨村小推,1,108,197,919,1,0,108,197,919,108,197,919,0,0,0
脊梁in上海-印济良,1,136,110,554,1,0,136,110,554,136,110,554,0,0,0
转运大狮,1,891,1063,320,1,0,891,1063,320,891,1063,320,0,0,0
梅西_LionelMessi,1,669,722,6786,1,0,669,722,6786,669,722,6786,0,0,0
谁是谁非任评说,1,4137,52,161,1,0,4137,52,161,4137,52,161,0,0,0
冬烊儿,1,1706,279,1544,1,0,1706,279,1544,1706,279,1544,0,0,0
张五常,1,765,482,1001,0,1,765,482,1001,0,0,0,765,482,1001
热门新闻头条,1,6424,362,747,1,0,6424,362,747,6424,362,747,0,0,0
微课堂,1,75,7,105,1,0,75,7,105,75,7,105,0,0,0
平安北京,1,119,149,96,1,0,119,149,96,119,149,96,0,0,0
eprom,1,52,30,33,0,1,52,30,33,0,0,0,52,30,33
头榜头条,1,782,341,790,1,0,782,341,790,782,341,790,0,0,0
MadameFigaro中文版,1,12983,274,1616,1,0,12983,274,1616,12983,274,1616,0,0,0
芭莎能量,1,7079,204,1125,1,0,7079,204,1125,7079,204,1125,0,0,0
B1128资源合集站_易烊千玺,1,1378,252,865,1,0,1378,252,865,1378,252,865,0,0,0
千玺大佬的美鹤Jacky,1,1776,240,1473,1,0,1776,240,1473,1776,240,1473,0,0,0
if视频,1,8293,1057,5179,1,0,8293,1057,5179,8293,1057,5179,0,0,0
精品购物指南,1,8337,150,954,1,0,8337,150,954,8337,150,954,0,0,0
仗义疏财小象君,1,90,5,2349,1,0,90,5,2349,90,5,2349,0,0,0
搞笑星仔,1,129,414,2066,1,0,129,414,2066,129,414,2066,0,0,0
每日内涵趣事,1,233,585,1619,0,1,233,585,1619,0,0,0,233,585,1619
黄毅清,1,175,744,1354,0,1,175,744,1354,0,0,0,175,744,1354
汇荆州,1,136,104,433,1,0,136,104,433,136,104,433,0,0,0
KuHe_,1,112,121,350,1,0,112,121,350,112,121,350,0,0,0
RNG一笑,1,60,335,802,0,1,60,335,802,0,0,0,60,335,802
Circle帥帥帥,1,35,340,123,0,1,35,340,123,0,0,0,35,340,123
兔主席,1,432,81,393,1,0,432,81,393,432,81,393,0,0,0
梭哈老头李,1,119,52,306,1,0,119,52,306,119,52,306,0,0,0
易烊千玺麻麻团,1,313,37,422,1,0,313,37,422,313,37,422,0,0,0
张晨初艺术空间,1,246,716,156,1,0,246,716,156,246,716,156,0,0,0
妮妮可毒舌,1,193,43,814,1,0,193,43,814,193,43,814,0,0,0
易米烊光的距离,1,24,108,247,1,0,24,108,247,24,108,247,0,0,0
apple爱自己,1,52,355,876,1,0,52,355,876,52,355,876,0,0,0
圈内壹姐,1,1101,1239,1827,1,0,1101,1239,1827,1101,1239,1827,0,0,0
龚凯杰,1,172,55,411,0,1,172,55,411,0,0,0,172,55,411
北京日报,1,51,28,224,1,0,51,28,224,51,28,224,0,0,0
洛画上骨,1,12,54,234,1,0,12,54,234,12,54,234,0,0,0
微博股票点评团,1,61,19,20,1,0,61,19,20,61,19,20,0,0,0
红星竹雨,1,20,13,83,1,0,20,13,83,20,13,83,0,0,0
微观新乡,1,78,80,13,1,0,78,80,13,78,80,13,0,0,0
爱情大咖,1,89,12,72,1,0,89,12,72,89,12,72,0,0,0
刀兄,1,104,15,60,1,0,104,15,60,104,15,60,0,0,0
季和之语,1,90,30,119,0,1,90,30,119,0,0,0,90,30,119
是囡妈啊,1,21,38,242,1,0,21,38,242,21,38,242,0,0,0
硬哥,1,457,931,402,0,1,457,931,402,0,0,0,457,931,402
魏大勋后援会,1,13,65,141,1,0,13,65,141,13,65,141,0,0,0
艺术无解无界,1,66,25,158,1,0,66,25,158,66,25,158,0,0,0
魏大勋,1,82074,28388,109733,1,0,82074,28388,109733,82074,28388,109733,0,0,0
Absolute0412_大發無限,1,106,79,416,1,0,106,79,416,106,79,416,0,0,0
华帝幸福厨房,1,42338,11573,10164,1,0,42338,11573,10164,42338,11573,10164,0,0,0
搞笑年度排行榜,1,45,39,534,1,0,45,39,534,45,39,534,0,0,0
闽与南,1,35,26,344,1,0,35,26,344,35,26,344,0,0,0
铜陵夜话,1,9,14,218,1,0,9,14,218,9,14,218,0,0,0
#NAME?,1,1732,245,1648,0,1,1732,245,1648,0,0,0,1732,245,1648
甜橙奶希,1,59,26,277,1,0,59,26,277,59,26,277,0,0,0
_茵茵桑_,1,59,11,80,1,0,59,11,80,59,11,80,0,0,0
小冰,1,74,584,550,1,0,74,584,550,74,584,550,0,0,0
艾艾贴,1,64838,4457,3058,1,0,64838,4457,3058,64838,4457,3058,0,0,0
卤鹅干锅鹅_向天歌,1,76,799,4702,1,0,76,799,4702,76,799,4702,0,0,0
宋轶工作室,1,40,39,428,1,0,40,39,428,40,39,428,0,0,0
灰爸遛遛遛,1,173,204,556,1,0,173,204,556,173,204,556,0,0,0
主持人祝嘉伟,1,31,83,183,1,0,31,83,183,31,83,183,0,0,0
小刚在大理,1,576,1080,5525,1,0,576,1080,5525,576,1080,5525,0,0,0
袁炫华,1,162,254,1123,0,1,162,254,1123,0,0,0,162,254,1123
果壳,1,336,518,409,1,0,336,518,409,336,518,409,0,0,0
彭大石,1,22,1,134,1,0,22,1,134,22,1,134,0,0,0
我的名字是阿哲,1,1037,7225,7855,0,1,1037,7225,7855,0,0,0,1037,7225,7855
男人装,1,507,209,552,1,0,507,209,552,507,209,552,0,0,0
飞碟说,1,3568,519,1003,1,0,3568,519,1003,3568,519,1003,0,0,0
摩尔金融,1,93,823,842,0,1,93,823,842,0,0,0,93,823,842
厦门美食,1,35,39,245,1,0,35,39,245,35,39,245,0,0,0
深万林,1,191,103,116,1,0,191,103,116,191,103,116,0,0,0
李题,1,2975,2183,1387,1,0,2975,2183,1387,2975,2183,1387,0,0,0
哈尔滨指南,1,83,194,168,1,0,83,194,168,83,194,168,0,0,0
袁俊川Aska大魁,1,6152,3393,7219,1,0,6152,3393,7219,6152,3393,7219,0,0,0
石家庄发布,1,93,151,165,1,0,93,151,165,93,151,165,0,0,0
飒飒肖,1,56,490,1287,1,0,56,490,1287,56,490,1287,0,0,0
55玉兔,1,490,106,14,1,0,490,106,14,490,106,14,0,0,0
合肥融创文旅城,1,13,43,151,1,0,13,43,151,13,43,151,0,0,0
辽阔草原锡林郭勒,1,202,47,102,1,0,202,47,102,202,47,102,0,0,0
泡芙好好吃啊啊,1,58,198,170,0,1,58,198,170,0,0,0,58,198,170
aki猫咪,1,4283,4551,11873,1,0,4283,4551,11873,4283,4551,11873,0,0,0
经典经济学,1,66,2,56,0,1,66,2,56,0,0,0,66,2,56
张奶霞,1,2549,1029,2386,0,1,2549,1029,2386,0,0,0,2549,1029,2386
人民正能量,1,34,26,125,0,1,34,26,125,0,0,0,34,26,125
辜什么锦,1,683,611,935,1,0,683,611,935,683,611,935,0,0,0
中国正能量,1,18,8,110,0,1,18,8,110,0,0,0,18,8,110
赵先德,1,20,14,39,1,0,20,14,39,20,14,39,0,0,0
巷内,1,17,23,50,1,0,17,23,50,17,23,50,0,0,0
馬曼然,1,28,18,79,0,1,28,18,79,0,0,0,28,18,79
EXO喷泉站,1,9,64,202,0,1,9,64,202,0,0,0,9,64,202
陈瀚Siri,1,13,47,204,0,1,13,47,204,0,0,0,13,47,204
梁瑞安,1,218,1319,3620,1,0,218,1319,3620,218,1319,3620,0,0,0
汪梦云,1,1053,1035,1001,1,0,1053,1035,1001,1053,1035,1001,0,0,0
管鑫Sam,1,144,175,257,0,1,144,175,257,0,0,0,144,175,257
铲屎官投稿社,1,680,433,609,0,1,680,433,609,0,0,0,680,433,609
一只小酸橘子,1,5,7,186,0,1,5,7,186,0,0,0,5,7,186
圈内星探,1,761,631,508,1,0,761,631,508,761,631,508,0,0,0
深圳身边事,1,346,1188,934,0,1,346,1188,934,0,0,0,346,1188,934
渔熊FIRST,1,114,69,112,1,0,114,69,112,114,69,112,0,0,0
栽培甜意,1,232,21,90,1,0,232,21,90,232,21,90,0,0,0
周黑鸭官方微博,1,8803,9602,5051,1,0,8803,9602,5051,8803,9602,5051,0,0,0
好事总会发生在下个转弯儿,1,98,229,333,1,0,98,229,333,98,229,333,0,0,0
快手扒皮,1,5,2132,809,1,0,5,2132,809,5,2132,809,0,0,0
艺术作品集情报局,1,11,8,63,1,0,11,8,63,11,8,63,0,0,0
龙星镖局,1,92,55,556,0,1,92,55,556,0,0,0,92,55,556
网红大八卦,1,5,177,508,1,0,5,177,508,5,177,508,0,0,0
伟哥八卦,1,4,112,234,1,0,4,112,234,4,112,234,0,0,0
小猪男孩,1,8,2,70,1,0,8,2,70,8,2,70,0,0,0
科学探索,1,612,867,12091,1,0,612,867,12091,612,867,12091,0,0,0
轩辕微助理-T,1,119,33,479,1,0,119,33,479,119,33,479,0,0,0
李义雄中文首站_EuiwoongBarCN,1,30,4,70,1,0,30,4,70,30,4,70,0,0,0
DT财经,1,38,5,47,1,0,38,5,47,38,5,47,0,0,0
孙昌旭,1,29,103,107,1,0,29,103,107,29,103,107,0,0,0
葳蕤raygq,1,388,207,453,1,0,388,207,453,388,207,453,0,0,0
Songbirdineasternsky,1,10,57,110,1,0,10,57,110,10,57,110,0,0,0
贵阳校园,1,27,20,164,1,0,27,20,164,27,20,164,0,0,0
作家王湛,1,474,472,337,0,1,474,472,337,0,0,0,474,472,337
新浪山东头条,1,9,1,51,0,1,9,1,51,0,0,0,9,1,51
雨后蘑菇,1,87,51,42,0,1,87,51,42,0,0,0,87,51,42
莉娜丫头,1,1525,1536,2405,1,0,1525,1536,2405,1525,1536,2405,0,0,0
鲨鱼电影,1,217,809,2239,0,1,217,809,2239,0,0,0,217,809,2239
乐读好书,1,1504,99,207,0,1,1504,99,207,0,0,0,1504,99,207
迷你厨房头条,1,89,131,313,0,1,89,131,313,0,0,0,89,131,313
ClouinKim,1,11,17,54,1,0,11,17,54,11,17,54,0,0,0
北极海豹王,1,26,70,52,0,1,26,70,52,0,0,0,26,70,52
给楼下小啵买狗粮,1,8,112,306,1,0,8,112,306,8,112,306,0,0,0
平凡之路sakura,1,36,23,236,0,1,36,23,236,0,0,0,36,23,236
上海交通大学,1,181,23,94,1,0,181,23,94,181,23,94,0,0,0
青蛇先生,1,362,111,132,1,0,362,111,132,362,111,132,0,0,0
Nicole的生活书,1,384,145,377,1,0,384,145,377,384,145,377,0,0,0
读书派,1,641,50,33,1,0,641,50,33,641,50,33,0,0,0
余潇潇Jessica,1,13,179,492,1,0,13,179,492,13,179,492,0,0,0
财新周刊,1,114,108,27,0,1,114,108,27,0,0,0,114,108,27
公益人王磊,1,707,1104,6662,1,0,707,1104,6662,707,1104,6662,0,0,0
韩载修,1,412,319,977,1,0,412,319,977,412,319,977,0,0,0
组织二号头目,1,218,142,511,0,1,218,142,511,0,0,0,218,142,511
鱼猫情话,1,1742,1324,2115,1,0,1742,1324,2115,1742,1324,2115,0,0,0
杨文战律师,1,18,80,280,1,0,18,80,280,18,80,280,0,0,0
人比黄瓜胖Ivy,1,1408,233,299,1,0,1408,233,299,1408,233,299,0,0,0
外贸人Chris,1,241,106,213,1,0,241,106,213,241,106,213,0,0,0
潮州突发,1,227,60,433,0,1,227,60,433,0,0,0,227,60,433
创业最前线,1,116,35,118,0,1,116,35,118,0,0,0,116,35,118
美国驻华大使馆,1,237,1049,574,1,0,237,1049,574,237,1049,574,0,0,0
视知TV,1,194,55,192,0,1,194,55,192,0,0,0,194,55,192
生抽xi,1,284,37,291,0,1,284,37,291,0,0,0,284,37,291
锅盖wer,1,3,57,546,1,0,3,57,546,3,57,546,0,0,0
engadgetChina,1,67,51,68,0,1,67,51,68,0,0,0,67,51,68
二叉树视频,1,81,25,61,1,0,81,25,61,81,25,61,0,0,0
刘群MT-to-Death,1,70,43,53,0,1,70,43,53,0,0,0,70,43,53
陈怡然-杜克大学,1,129,42,83,1,0,129,42,83,129,42,83,0,0,0
海离薇,1,95,4,5,1,0,95,4,5,95,4,5,0,0,0
胡舒立,1,7,17,27,1,0,7,17,27,7,17,27,0,0,0
淡定水月无声,1,43,29,181,1,0,43,29,181,43,29,181,0,0,0
港股通AiH,1,26,8,33,1,0,26,8,33,26,8,33,0,0,0
365-厦门大雨,1,19,5,25,1,0,19,5,25,19,5,25,0,0,0
余生所爱N,1,12,101,325,0,1,12,101,325,0,0,0,12,101,325
nyouyou,1,33,175,1123,1,0,33,175,1123,33,175,1123,0,0,0
小雨小雨小雨_N,1,12,337,468,1,0,12,337,468,12,337,468,0,0,0
古月中心相心,1,32,198,185,1,0,32,198,185,32,198,185,0,0,0
二碗甜鸦mer,1,54,59,146,1,0,54,59,146,54,59,146,0,0,0
圈内大神,1,635,217,829,1,0,635,217,829,635,217,829,0,0,0
血色军刀999,1,127,80,198,1,0,127,80,198,127,80,198,0,0,0
啵叽一口小甜饼,1,397,495,613,1,0,397,495,613,397,495,613,0,0,0
骆驼娱乐,1,1082,1169,1379,1,0,1082,1169,1379,1082,1169,1379,0,0,0
郭姐哒,1,798,1638,2697,1,0,798,1638,2697,798,1638,2697,0,0,0
Alinda艾琳达,1,46,635,5662,1,0,46,635,5662,46,635,5662,0,0,0
石家庄的事儿,1,580,363,161,1,0,580,363,161,580,363,161,0,0,0
倪飞,1,160,367,628,1,0,160,367,628,160,367,628,0,0,0
陈海滢,1,427,167,607,1,0,427,167,607,427,167,607,0,0,0
草莓起司糖,1,68,481,51,1,0,68,481,51,68,481,51,0,0,0
_妈妈咪啊,1,115,13,549,1,0,115,13,549,115,13,549,0,0,0
郭俊峰V,1,94,14,35,0,1,94,14,35,0,0,0,94,14,35
金刀王,1,232,1111,1620,1,0,232,1111,1620,232,1111,1620,0,0,0
刘煜辉lyhfhtx,1,111,26,130,1,0,111,26,130,111,26,130,0,0,0
养烊专业户,1,28,17,140,1,0,28,17,140,28,17,140,0,0,0
_4444x_nan_,1,17,134,156,1,0,17,134,156,17,134,156,0,0,0
宋晓军,1,42,20,85,0,1,42,20,85,0,0,0,42,20,85
陆天明,1,135,77,137,0,1,135,77,137,0,0,0,135,77,137
猪小屁,1,30,37,168,1,0,30,37,168,30,37,168,0,0,0
鑫谦,1,17,25,307,1,0,17,25,307,17,25,307,0,0,0
慕容嗷嗷,1,10,62,69,1,0,10,62,69,10,62,69,0,0,0
天才讲真,1,13,17,130,0,1,13,17,130,0,0,0,13,17,130
柚子木字幕组,1,43,28,109,0,1,43,28,109,0,0,0,43,28,109
京东电脑数码,1,263,149,346,1,0,263,149,346,263,149,346,0,0,0
抽着铂德去远方,1,32,86,213,1,0,32,86,213,32,86,213,0,0,0
王者荣耀小浪浪Mars,1,1466,2476,2805,1,0,1466,2476,2805,1466,2476,2805,0,0,0
明星搞笑榜,1,721,561,6241,0,1,721,561,6241,0,0,0,721,561,6241
KristianKostovBar,1,139,78,725,1,0,139,78,725,139,78,725,0,0,0
KristianKostov音乐站,1,54,9,337,1,0,54,9,337,54,9,337,0,0,0
Lami_Yi,1,4,105,530,1,0,4,105,530,4,105,530,0,0,0
咪咕阅读,1,162,8,19,1,0,162,8,19,162,8,19,0,0,0
KristianKostovChina,1,21,32,271,1,0,21,32,271,21,32,271,0,0,0
tinyfool,1,2165,153,1304,0,1,2165,153,1304,0,0,0,2165,153,1304
一个不会再更新的号,1,84,40,123,1,0,84,40,123,84,40,123,0,0,0
TonyCheng777,1,35,48,15,1,0,35,48,15,35,48,15,0,0,0
德国艺术,1,27,10,57,1,0,27,10,57,27,10,57,0,0,0
巫启贤,1,14,129,676,0,1,14,129,676,0,0,0,14,129,676
brainnews脑科学新闻,1,32,2,35,1,0,32,2,35,32,2,35,0,0,0
小议国事,1,54,25,51,1,0,54,25,51,54,25,51,0,0,0
辣条源叔,1,3033,3288,1642,1,0,3033,3288,1642,3033,3288,1642,0,0,0
别怕我们有防护门,1,164,39,517,1,0,164,39,517,164,39,517,0,0,0
毅马当闲,1,345,432,272,1,0,345,432,272,345,432,272,0,0,0
决战平安京,1,31,1285,950,1,0,31,1285,950,31,1285,950,0,0,0
耗这口,1,542,260,635,1,0,542,260,635,542,260,635,0,0,0
何时成婴,1,25,37,81,1,0,25,37,81,25,37,81,0,0,0
鸽海成路,1,6,196,391,0,1,6,196,391,0,0,0,6,196,391
小阿走,1,253,212,2204,0,1,253,212,2204,0,0,0,253,212,2204
小野你还在寻找什么,1,53,12,158,1,0,53,12,158,53,12,158,0,0,0
lss215,1,5,92,131,1,0,5,92,131,5,92,131,0,0,0
泰国广告,1,19,4,53,0,1,19,4,53,0,0,0,19,4,53
神州法律,1,73,6,22,0,1,73,6,22,0,0,0,73,6,22
趣味无限大集合,1,5,5,63,0,1,5,5,63,0,0,0,5,5,63
翘屁嫩瓜瓜,1,59,27,25,0,1,59,27,25,0,0,0,59,27,25
爆笑搞事菌,1,35,96,199,0,1,35,96,199,0,0,0,35,96,199
Kevin王的日记本,1,13,155,192,0,1,13,155,192,0,0,0,13,155,192
大咖身边人,1,32,7,27,1,0,32,7,27,32,7,27,0,0,0
于晓华_经济,1,18,27,69,0,1,18,27,69,0,0,0,18,27,69
搞笑视频坊,1,13,7,123,1,0,13,7,123,13,7,123,0,0,0
丁子户凡珏,1,20,16,73,1,0,20,16,73,20,16,73,0,0,0
深圳特区报,1,14,12,37,1,0,14,12,37,14,12,37,0,0,0
趣评测詹志斌,1,6,232,87,1,0,6,232,87,6,232,87,0,0,0
桂哥猎手VIP777,1,885,58,260,1,0,885,58,260,885,58,260,0,0,0
蔡尹珊珊,1,40,302,106,0,1,40,302,106,0,0,0,40,302,106
零下三十一度·,1,33,133,129,1,0,33,133,129,33,133,129,0,0,0
深圳公安,1,22,66,63,1,0,22,66,63,22,66,63,0,0,0
果仁儿科技,1,3,90,63,1,0,3,90,63,3,90,63,0,0,0
神勇小白兎,1,4,12,40,0,1,4,12,40,0,0,0,4,12,40
飞龙中医,1,101,1,32,1,0,101,1,32,101,1,32,0,0,0
Wind资讯,1,8,0,45,1,0,8,0,45,8,0,45,0,0,0
RosyEgg-,1,72,6,178,0,1,72,6,178,0,0,0,72,6,178
TVB剧透社,1,49,38,112,0,1,49,38,112,0,0,0,49,38,112
南江何佳,1,20,7,144,0,1,20,7,144,0,0,0,20,7,144
宋鸿兵,1,7,60,136,0,1,7,60,136,0,0,0,7,60,136
修行的围脖,1,15,8,28,1,0,15,8,28,15,8,28,0,0,0
猫头鹰快艇,1,19,21,27,1,0,19,21,27,19,21,27,0,0,0
予烊丶,1,35,141,120,1,0,35,141,120,35,141,120,0,0,0
伢伢复盘,1,27,126,333,0,1,27,126,333,0,0,0,27,126,333
蔡正元,1,74,138,426,1,0,74,138,426,74,138,426,0,0,0
慕烊的小姑娘,1,28,9,85,1,0,28,9,85,28,9,85,0,0,0
泰国头条新闻,1,12,8,53,1,0,12,8,53,12,8,53,0,0,0
普外科曾医生,1,12,352,135,0,1,12,352,135,0,0,0,12,352,135
描坤,1,21,6,8,1,0,21,6,8,21,6,8,0,0,0
笑笑真情话,1,7,53,53,1,0,7,53,53,7,53,53,0,0,0
就是大璠儿a,1,20,53,89,1,0,20,53,89,20,53,89,0,0,0
有限次重复博弈,1,17,39,33,1,0,17,39,33,17,39,33,0,0,0
一雪,1,7,14,38,1,0,7,14,38,7,14,38,0,0,0
异周刊编辑部_王子异,1,719,603,1189,1,0,719,603,1189,719,603,1189,0,0,0
娱乐大魔王,1,891,812,1068,1,0,891,812,1068,891,812,1068,0,0,0
鷰飛-yi,1,405,477,752,1,0,405,477,752,405,477,752,0,0,0
央视网快看,1,8,15,55,1,0,8,15,55,8,15,55,0,0,0
房小旗,1,38,5,98,1,0,38,5,98,38,5,98,0,0,0
阿卜教授,1,40,45,102,1,0,40,45,102,40,45,102,0,0,0
圈神探,1,295,886,7772,0,1,295,886,7772,0,0,0,295,886,7772
怡个菇凉,1,56,68,240,0,1,56,68,240,0,0,0,56,68,240
神楽坂雅詩,1,596,259,75,0,1,596,259,75,0,0,0,596,259,75
机智的兵长,1,842,437,998,1,0,842,437,998,842,437,998,0,0,0
希望橘子足够甜,1,208,138,290,0,1,208,138,290,0,0,0,208,138,290
娱乐圈少女,1,1498,1199,1804,1,0,1498,1199,1804,1498,1199,1804,0,0,0
八鹅吃瓜菌,1,37,183,268,1,0,37,183,268,37,183,268,0,0,0
陈迪Winston,1,68,141,236,1,0,68,141,236,68,141,236,0,0,0
追星仙子,1,75,51,232,1,0,75,51,232,75,51,232,0,0,0
嗑瓜子每日专用,1,29,132,247,1,0,29,132,247,29,132,247,0,0,0
记者王冠,1,164,58,403,1,0,164,58,403,164,58,403,0,0,0
蘇恆-台灣,1,118,165,587,0,1,118,165,587,0,0,0,118,165,587
冰火燃点,1,26,234,603,0,1,26,234,603,0,0,0,26,234,603
江西反邪教,1,346,317,355,1,0,346,317,355,346,317,355,0,0,0
张无猫w,1,137,84,195,1,0,137,84,195,137,84,195,0,0,0
Issheyou,1,31,30,275,1,0,31,30,275,31,30,275,0,0,0
摄影之友,1,20,12,99,1,0,20,12,99,20,12,99,0,0,0
陶短房,1,225,105,207,0,1,225,105,207,0,0,0,225,105,207
匠库,1,73,53,191,1,0,73,53,191,73,53,191,0,0,0
九品搞笑,1,63,27,208,0,1,63,27,208,0,0,0,63,27,208
陈如是说,1,40,19,60,0,1,40,19,60,0,0,0,40,19,60
财经新媒体,1,68,28,47,0,1,68,28,47,0,0,0,68,28,47
神嘛事儿,1,145,83,272,0,1,145,83,272,0,0,0,145,83,272
想有个好儿子特兰克斯,1,83,8,50,1,0,83,8,50,83,8,50,0,0,0
新浪棋牌,1,13,17,27,1,0,13,17,27,13,17,27,0,0,0
妖盐货重,1,62,129,42,0,1,62,129,42,0,0,0,62,129,42
湾区大佬,1,684,1122,6574,1,0,684,1122,6574,684,1122,6574,0,0,0
李开宇-价量兵法,1,25,48,366,1,0,25,48,366,25,48,366,0,0,0
数码科技黑莓会,1,22,47,62,0,1,22,47,62,0,0,0,22,47,62
烊扬的晨兮兮_,1,23,422,1641,1,0,23,422,1641,23,422,1641,0,0,0
MJ车谈缪俊,1,91,374,564,1,0,91,374,564,91,374,564,0,0,0
宇飞-趋势投资,1,26,7,62,0,1,26,7,62,0,0,0,26,7,62
独家网,1,14,14,19,0,1,14,14,19,0,0,0,14,14,19
小狐仙仙,1,7,23,47,1,0,7,23,47,7,23,47,0,0,0
数懒小姐姐,1,11,120,293,1,0,11,120,293,11,120,293,0,0,0
央视体育,1,70,0,273,1,0,70,0,273,70,0,273,0,0,0
麦堂影业,1,985,1441,346,0,1,985,1441,346,0,0,0,985,1441,346
晚安污话,1,41,0,62,1,0,41,0,62,41,0,62,0,0,0
环球时报-英文版,1,23,7,84,1,0,23,7,84,23,7,84,0,0,0
OYO酒店,1,10334,2650,1975,1,0,10334,2650,1975,10334,2650,1975,0,0,0
briony_skyyyy,1,1082,185,1389,1,0,1082,185,1389,1082,185,1389,0,0,0
秦盖盖盖盖不上,1,40,6,20,0,1,40,6,20,0,0,0,40,6,20
开源AI,1,209,129,166,1,0,209,129,166,209,129,166,0,0,0
魔鬼管理学,1,77,3,78,0,1,77,3,78,0,0,0,77,3,78
老杳,1,159,316,57,0,1,159,316,57,0,0,0,159,316,57
KR冰团-IceArmy,1,21,15,73,0,1,21,15,73,0,0,0,21,15,73
