用户ID,微博数,转发数,评论数,点赞数,积极数,消极数,平均转发,平均评论,平均点赞,积极转发数,积极评论数,积极点赞数,消极转发数,消极评论数,消极点赞数
今日聊城头条,6,3385,3558,23033,5,1,564.17 ,593.00 ,3838.83 ,3247,3225,21445,138,333,1588
凤凰周刊,5,389,1055,1233,2,3,77.80 ,211.00 ,246.60 ,78,138,300,311,917,933
机工战略,5,627,335,767,5,0,125.40 ,67.00 ,153.40 ,627,335,767,0,0,0
斯图卡98,5,657,513,1115,4,1,131.40 ,102.60 ,223.00 ,330,197,534,327,316,581
愛崽·,5,2664,688,5594,4,1,532.80 ,137.60 ,1118.80 ,2632,631,4948,32,57,646
韩东言,5,443,2346,6899,3,2,88.60 ,469.20 ,1379.80 ,309,1080,3061,134,1266,3838
钱哥,5,97948,46548,77512,4,1,19589.60 ,9309.60 ,15502.40 ,97829,42221,74249,119,4327,3263
唐师曾,5,592,337,1095,5,0,118.40 ,67.40 ,219.00 ,592,337,1095,0,0,0
风闻社区,5,639,168,1030,2,2,127.80 ,33.60 ,206.00 ,113,35,358,484,101,614
新浪证券,5,504,304,552,2,3,100.80 ,60.80 ,110.40 ,64,10,82,440,294,470
互联网俊明说,5,400,1228,5055,3,2,80.00 ,245.60 ,1011.00 ,151,735,3514,249,493,1541
陈有西,5,2193,1282,1797,4,1,438.60 ,256.40 ,359.40 ,1103,743,1115,1090,539,682
孤烟暮蝉,5,355,1727,13202,1,4,71.00 ,345.40 ,2640.40 ,12,61,269,343,1666,12933
清华大学,5,534,250,3227,5,0,106.80 ,50.00 ,645.40 ,534,250,3227,0,0,0
爱搞机的小nv孩,5,610,1430,3316,4,0,122.00 ,286.00 ,663.20 ,601,1314,3090,0,0,0
微博股票,5,294,232,358,1,4,58.80 ,46.40 ,71.60 ,86,77,113,208,155,245
余丰慧,5,360,557,2841,3,1,72.00 ,111.40 ,568.20 ,276,409,2480,53,118,214
台湾那点事儿,5,101,724,1356,4,1,20.20 ,144.80 ,271.20 ,85,612,1227,16,112,129
彩云香江,5,1526,2016,20379,5,0,305.20 ,403.20 ,4075.80 ,1526,2016,20379,0,0,0
_村西边老王_,5,297,273,1508,2,3,59.40 ,54.60 ,301.60 ,125,140,1106,172,133,402
迪仔Dizzz,5,5427,6731,9422,5,0,1085.40 ,1346.20 ,1884.40 ,5427,6731,9422,0,0,0
钱贵人,5,14917,19622,95316,3,0,2983.40 ,3924.40 ,19063.20 ,14479,16728,88504,0,0,0
YouTube精彩视频,5,3748,1831,8126,5,0,749.60 ,366.20 ,1625.20 ,3748,1831,8126,0,0,0
八组兔区爆料,5,16701,7209,54509,4,1,3340.20 ,1441.80 ,10901.80 ,15051,6466,53021,1650,743,1488
环球纪录频道,5,1514,750,15779,5,0,302.80 ,150.00 ,3155.80 ,1514,750,15779,0,0,0
博物杂志,5,1289,1250,16657,3,0,257.80 ,250.00 ,3331.40 ,593,694,8455,0,0,0
花粉俱乐部,5,3315,1157,6861,5,0,663.00 ,231.40 ,1372.20 ,3315,1157,6861,0,0,0
